supplier_id,supplier_name,supplier_region,supplier_rating,supplier_type,contract_value,onboarding_date,contact_email
1,Jordan White,North America,2.09,Wholesaler,43966.52,1975-02-23,tammyyork@example.org
2,Austin Romero,North America,2.29,Manufacturer,27696.28,2001-06-29,melissataylor@example.org
3,Manuel Cole,Africa,3.51,Distributor,28949.1,2015-12-08,englishtimothy@example.net
4,Tony Brown,Middle East,3.61,Manufacturer,45997.83,1999-04-26,sergiopadilla@example.org
5,Angela Adams,Europe,2.42,Distributor,25333.89,1972-04-08,virginia87@example.com
6,Rebecca Moore,Asia,2.74,Manufacturer,16447.51,2004-08-24,qmathews@example.org
7,Mariah Maldonado,Asia,4.39,Manufacturer,28477.74,1971-12-27,christophercooper@example.net
8,Jill Bowen,North America,4.62,Manufacturer,20749.28,2012-07-10,kevin81@example.org
9,Elizabeth Ashley,North America,4.75,Manufacturer,44313.92,2005-01-06,samantha84@example.org
10,Crystal Barrera,Middle East,3.52,Distributor,26166.6,2010-04-01,sheppardchristopher@example.net
11,Joshua Hawkins,Europe,2.03,Supplier,38910.85,2009-08-24,jamestrevor@example.com
12,Mark Hobbs,Europe,4.37,Supplier,41020.1,1996-08-16,smithjason@example.net
13,Joseph Moore,Africa,2.14,Distributor,40398.13,2001-10-19,annadodson@example.com
14,Rita David,Asia,4.91,Distributor,49220.9,1989-05-12,zpowers@example.com
15,April Sims,Africa,3.6,Distributor,12724.76,1993-09-28,ginawilliams@example.com
16,Richard Jones,Africa,1.01,Distributor,37582.77,1996-01-12,gregorydavis@example.net
17,Frank Butler,Asia,4.07,Wholesaler,20316.57,1985-06-14,xross@example.net
18,Kyle Hernandez,Middle East,2.57,Manufacturer,48423.77,2015-06-29,hudsonvincent@example.net
19,Leslie Payne DDS,Africa,2.28,Manufacturer,46668.71,2009-12-28,juan51@example.org
20,Jessica Smith,Middle East,3.4,Distributor,18587.42,1991-02-10,johnrussell@example.com
21,Daniel Moran,Europe,2.7,Distributor,33246.02,2006-04-10,vford@example.org
22,Laura Lester,Africa,2.22,Supplier,35521.59,1991-08-25,dvargas@example.com
23,Christina Ramos,Asia,1.46,Wholesaler,10997.25,1980-10-01,barbarajones@example.com
24,Joy Dominguez,North America,3.37,Wholesaler,48970.27,1970-11-07,cookerobert@example.com
25,Gary Davis,Middle East,4.11,Distributor,35982.81,1990-07-09,sara20@example.com
26,Chelsea Tucker,Asia,2.1,Manufacturer,22299.21,1992-01-18,ortizjohn@example.net
27,Stacie Nichols,Asia,1.35,Wholesaler,13171.85,2013-05-19,pmathis@example.net
28,Megan Stewart,North America,2.7,Supplier,49570.99,2016-08-15,swells@example.com
29,Catherine Taylor,Europe,1.74,Supplier,23231.68,1990-02-02,sarah56@example.net
