supplier_id,supplier_name,supplier_region,supplier_rating,supplier_type,contract_value,onboarding_date,contact_email
1,Carly Garcia,Europe,4,Supplier,48413.84,2001-01-11,mmiller@example.org
2,Annette Rogers,Middle East,5,Wholesaler,33669.74,1973-05-11,daviscurtis@example.net
3,Tasha Yates,Africa,2,Manufacturer,36706.07,2015-05-06,dalton00@example.net
4,Grace Dunlap,Europe,4,Wholesaler,29577.6,1979-09-11,leepamela@example.net
5,Jennifer Wilson,Asia,2,Supplier,49320.86,1986-01-02,uwoodward@example.net
6,Laura Holmes,North America,1,Distributor,30795.21,1992-11-12,kweber@example.com
7,Savannah Guzman,Europe,1,Supplier,10877.91,1989-02-19,julia27@example.com
8,Danielle Lopez,Middle East,2,Manufacturer,29253.11,2015-07-04,hnguyen@example.org
9,Judith Jordan,Asia,4,Distributor,44439.31,2013-10-25,sstewart@example.com
10,Kelly Hoffman,Asia,4,Manufacturer,26499.1,1972-11-07,ishaffer@example.net
11,Beverly White,Europe,3,Wholesaler,49621.31,2020-05-14,cstephenson@example.org
12,Tyler Buckley,North America,5,Wholesaler,30599.31,2019-05-13,april43@example.org
13,David Lyons,Asia,2,Manufacturer,37523.97,2001-08-30,eric95@example.net
14,Mrs. Sharon Sanchez DDS,Africa,4,Manufacturer,43057.8,1993-08-07,landrymelissa@example.org
15,Samantha Goodman,Middle East,3,Wholesaler,21755.49,1985-08-21,fwebb@example.net
16,Eugene Burns,North America,4,Distributor,34482.11,2011-09-25,reedjoseph@example.org
17,Jeff Harris,Europe,4,Wholesaler,35751.87,1974-06-11,kimberly15@example.org
18,Heidi Jackson,Africa,4,Supplier,27039.41,2020-10-08,juan58@example.org
19,Russell Dixon,Asia,4,Manufacturer,11855.74,2021-08-28,samanthaharris@example.net
20,Victoria Key,Africa,1,Distributor,43397.85,1990-02-23,nguyenstephen@example.com
21,Jennifer Wilson,Asia,4,Distributor,49123.0,2022-01-20,gregorywilliams@example.com
22,Ryan Miller,Africa,2,Distributor,20653.7,1998-01-18,ferrellshelby@example.org
23,Thomas Lucas,Asia,2,Manufacturer,32398.22,2011-08-23,mesparza@example.net
24,Lisa Williams,Africa,1,Supplier,48068.05,1982-05-16,suttonsean@example.org
25,Alicia Daniels,Africa,3,Wholesaler,28439.96,1990-07-09,burtonkristin@example.com
26,Darlene Miller,North America,3,Wholesaler,22099.4,2006-02-25,portererik@example.com
27,Kyle Garcia,Middle East,2,Distributor,45917.7,1974-04-28,rodriguezcarolyn@example.net
28,Kelly Hoffman DVM,Middle East,2,Manufacturer,38725.9,1993-01-10,cassidyramirez@example.net
29,Gregory Burke,Asia,4,Distributor,13114.47,1981-12-10,carolyncasey@example.net
30,Duane Wilkinson,Africa,4,Wholesaler,36635.22,1998-01-26,sherrera@example.net
31,Nathaniel Smith,Middle East,2,Wholesaler,18439.43,1981-03-17,christopherramirez@example.net
32,Patrick Simpson,Africa,2,Wholesaler,15522.73,2007-01-19,peterwilson@example.net
33,Kathryn Brown,Europe,2,Manufacturer,30230.46,2015-02-03,alejandralee@example.com
34,Kristina Pittman,Middle East,2,Wholesaler,29542.87,1993-03-15,ssweeney@example.com
35,Bryan Jackson,North America,3,Manufacturer,15668.35,1987-02-22,hporter@example.org
36,Leslie Bailey,Middle East,5,Supplier,34630.67,2004-07-22,zachary04@example.com
37,Denise Fitzpatrick,Africa,4,Distributor,46042.8,1987-08-03,htorres@example.com
38,Tyler Perez,Africa,3,Wholesaler,30421.37,1999-01-11,mitchellheather@example.net
39,Sarah Campbell,Africa,1,Wholesaler,40135.03,2024-05-13,dzimmerman@example.org
40,Misty Mooney,Africa,4,Manufacturer,12519.71,2009-09-22,nweaver@example.com
41,Laura Williams,Europe,3,Supplier,40117.89,2002-11-23,jeanettemartinez@example.com
42,Daniel Paul III,North America,3,Manufacturer,21487.8,2013-05-18,lisa39@example.org
43,Courtney Burton,North America,3,Wholesaler,48871.16,1992-11-13,allenthompson@example.net
44,Sandra Barrett,Europe,4,Manufacturer,23624.04,2006-08-20,fordsarah@example.com
