supplier_id,supplier_name,supplier_region,supplier_rating,supplier_type,contact_value,onboarding_date,contact_email
1,Terry Krueger,"['North America', 'Europe', 'North America']",3,"['Manufacturer', 'Distributor', 'Distributor']",44003.56,1991-09-28,smithyvonne@example.net
2,Sherri Williams,"['Middle East', 'Africa', 'Europe', 'Middle East', 'Europe']",2,"['Wholesaler', 'Wholesaler', 'Distributor', 'Distributor']",10006.54,1991-10-16,robertsimmons@example.com
3,Karen Lewis,"['Middle East', 'Middle East', 'Europe']",4,['Wholesaler'],41018.2,1979-06-28,ckrueger@example.com
4,Phillip Butler,['Asia'],5,"['Wholesaler', 'Wholesaler']",30226.63,1976-06-26,millerbrooke@example.net
5,Mikayla Rice,"['Middle East', 'Europe', 'Middle East']",2,"['Supplier', 'Supplier', 'Wholesaler', 'Manufacturer']",25912.09,2006-07-30,nharris@example.net
6,Renee Tucker,"['North America', 'Middle East', 'Asia']",5,['Supplier'],38861.44,1995-03-04,sandra94@example.com
7,Chelsea Gardner MD,['North America'],2,"['Distributor', 'Manufacturer']",43851.8,1975-06-21,moorejulie@example.net
8,Ivan Thompson,"['Africa', 'Asia', 'Europe', 'Europe', 'Europe']",1,"['Manufacturer', 'Supplier']",36480.2,1970-07-11,wfoster@example.org
9,Kevin Tyler,"['Asia', 'Asia', 'Middle East', 'Middle East']",3,"['Wholesaler', 'Wholesaler', 'Wholesaler']",14860.42,2015-05-14,gregoryjohnson@example.org
10,John Daniels,"['Asia', 'Europe', 'Africa', 'Middle East']",4,"['Supplier', 'Wholesaler', 'Wholesaler', 'Distributor']",41514.47,1998-06-16,hubbardelizabeth@example.com
11,Katie Smith,['Asia'],5,"['Supplier', 'Supplier']",11554.74,2005-07-20,townsendsherry@example.org
12,Stephanie Gibson,"['Asia', 'Europe', 'Middle East']",1,"['Distributor', 'Wholesaler', 'Distributor', 'Manufacturer']",20558.52,2009-04-13,seanchang@example.org
13,William Villanueva,['Africa'],4,['Wholesaler'],35674.0,2003-06-07,aliciaalvarado@example.com
14,Nicholas Carter,"['North America', 'Asia', 'Middle East']",4,"['Manufacturer', 'Supplier', 'Manufacturer', 'Distributor']",41981.73,2003-10-18,ajohnson@example.org
15,Jessica Yang,['Asia'],3,['Manufacturer'],17809.34,1971-01-29,nmartin@example.org
16,Ryan Lawrence,"['Europe', 'Africa', 'Middle East']",3,"['Wholesaler', 'Supplier', 'Supplier', 'Manufacturer']",48033.3,2007-08-18,foxscott@example.org
17,Ray Johnson,"['Middle East', 'Middle East', 'Europe', 'Middle East']",3,"['Distributor', 'Wholesaler', 'Wholesaler', 'Supplier']",38635.5,2004-09-28,gsimon@example.net
18,Benjamin Rodriguez,['Europe'],3,"['Wholesaler', 'Manufacturer', 'Wholesaler', 'Manufacturer']",22995.25,1993-07-02,johnsonkristen@example.org
